"رقم الموظف ",الجنس,الجنسية,"الفئة العمرية ",الجهة,الكادر الوظيفي,المرتبة الوظيفية,المسمى الوظيفي,المقر,المنطقة الإدارية,تصنيف العملية,السنة,الشهر,"اليوم "
1221,أنثى,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1222,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1223,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1224,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1225,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1226,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1227,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1228,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1229,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1230,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1231,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1232,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1233,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1234,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1235,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1236,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1237,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1238,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1239,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1240,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1241,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1242,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1243,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1244,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1245,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1246,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1247,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1248,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1249,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1250,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1251,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1252,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1253,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1254,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1255,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1256,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1257,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1258,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1259,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1260,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1261,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1262,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1263,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1264,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1265,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1266,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1267,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1268,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1269,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1270,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,ابها,ابها,التعاقد,1446,2,7
1271,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1272,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1273,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1274,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1275,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1276,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,النماص,ابها,التعاقد,1446,2,7
1277,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1278,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1279,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1280,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1281,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1282,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1283,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1284,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بلاد رجال المع,ابها,التعاقد,1446,2,7
1285,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1286,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1287,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1288,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1289,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1290,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1291,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1292,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1293,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1294,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1295,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1296,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1297,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1298,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1299,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1300,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1301,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1302,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1303,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1304,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1305,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1306,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,بيشه,ابها,التعاقد,1446,2,7
1307,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,تثليث,ابها,التعاقد,1446,2,7
1308,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,تثليث,ابها,التعاقد,1446,2,7
1309,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,خميس  مشيط,ابها,التعاقد,1446,2,7
1310,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,خميس  مشيط,ابها,التعاقد,1446,2,7
1311,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,خميس  مشيط,ابها,التعاقد,1446,2,7
1312,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1313,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1314,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1315,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1316,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1317,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1318,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1319,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1320,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,سراه عبيده,ابها,التعاقد,1446,2,7
1321,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1322,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1323,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1324,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1325,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1326,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1327,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1328,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1329,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1330,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1331,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1332,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1333,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1334,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1335,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1336,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1337,ذكر,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1338,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1339,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1340,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1341,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1342,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1343,ذكر,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,محايل عسير,ابها,التعاقد,1446,2,7
1344,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1345,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1346,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1347,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1348,أنثى,سعودي,46-50,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1349,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1350,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1351,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1352,أنثى,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1353,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1354,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1355,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1356,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1357,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1358,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1359,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1360,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1361,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1362,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1363,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1364,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1365,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1366,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1367,أنثى,سعودي,46-50,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1368,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1369,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1370,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1371,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1372,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1373,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1374,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1375,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1376,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1377,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1378,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1379,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1380,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1381,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1382,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1383,أنثى,سعودي,46-50,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1384,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1385,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1386,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1387,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1388,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1389,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1390,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1391,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1392,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1393,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1394,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1395,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1396,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1397,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1398,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1399,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1400,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1401,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1402,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1403,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1404,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1405,أنثى,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1406,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1407,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1408,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1409,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1410,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1411,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1412,أنثى,سعودي,25-30,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
1413,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الباحه,الباحه,التعاقد,1446,2,7
